Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PCR_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PCR,Exitus
2021-04-21 18:00:00,A.S. A CORUÑA E CEE,29195,47,699,27926,54,9,433673,240624,583
2021-04-21 18:00:00,A.S. FERROL,8378,4,104,8052,9,2,133878,43019,216
2021-04-21 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12320,7,211,11892,9,4,218996,104328,212
2021-04-21 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15179,20,261,14504,16,9,231825,121725,415
2021-04-21 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13355,34,461,12726,23,5,202202,104106,170
2021-04-21 18:00:00,A.S. SANTIAGO E BARBANZA,18966,11,350,18268,19,4,328978,167428,360
2021-04-21 18:00:00,A.S. VIGO,23165,77,789,21960,33,8,433987,109373,422
2021-04-21 18:00:00,GALICIA,120558,200,2875,115328,163,41,1983539,890603,2378
2021-04-22 18:00:00,A.S. A CORUÑA E CEE,29267,65,728,27969,54,10,435584,241119,583
2021-04-22 18:00:00,A.S. FERROL,8388,7,110,8056,9,2,134103,43085,216
2021-04-22 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12335,12,210,11907,8,4,219817,104512,213
2021-04-22 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15197,16,263,14520,17,10,232289,122105,415
2021-04-22 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13392,32,466,12758,20,5,203513,104557,170
2021-04-22 18:00:00,A.S. SANTIAGO E BARBANZA,18982,12,339,18295,19,4,329529,167896,360
2021-04-22 18:00:00,A.S. VIGO,23250,82,823,22011,29,8,437056,109570,422
2021-04-22 18:00:00,GALICIA,120811,226,2939,115516,156,43,1991891,892844,2379
2021-04-23 18:00:00,A.S. A CORUÑA E CEE,29300,38,729,28000,46,9,437541,241575,584
2021-04-23 18:00:00,A.S. FERROL,8401,11,120,8059,9,2,134370,43145,216
2021-04-23 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12350,13,205,11927,7,4,220494,104756,213
2021-04-23 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15215,11,265,14536,17,10,232802,122519,415
2021-04-23 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13414,22,469,12776,16,5,204925,104987,171
2021-04-23 18:00:00,A.S. SANTIAGO E BARBANZA,19009,19,346,18315,19,5,329884,168410,360
2021-04-23 18:00:00,A.S. VIGO,23326,67,843,22067,32,8,440064,109991,422
2021-04-23 18:00:00,GALICIA,121015,181,2977,115680,146,43,2000080,895383,2381
2021-04-24 18:00:00,A.S. A CORUÑA E CEE,29340,29,738,28030,47,12,438907,242024,585
2021-04-24 18:00:00,A.S. FERROL,8404,3,119,8063,11,2,134634,43196,216
2021-04-24 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12363,10,206,11939,9,4,221279,104872,213
2021-04-24 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15233,15,255,14564,18,11,233797,122787,415
2021-04-24 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13449,36,481,12799,19,5,205934,105298,171
2021-04-24 18:00:00,A.S. SANTIAGO E BARBANZA,19039,28,343,18348,19,4,330636,168647,360
2021-04-24 18:00:00,A.S. VIGO,23398,70,874,22108,35,8,443915,110222,422
2021-04-24 18:00:00,GALICIA,121226,191,3016,115851,158,46,2009102,897046,2382
2021-04-25 18:00:00,A.S. A CORUÑA E CEE,29381,45,733,28076,48,13,441019,242311,585
2021-04-25 18:00:00,A.S. FERROL,8409,4,117,8070,11,2,134776,43222,216
2021-04-25 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12373,8,204,11951,11,4,221745,104946,213
2021-04-25 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15247,11,257,14576,20,9,235297,123090,415
2021-04-25 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13477,26,485,12823,18,5,206207,105590,171
2021-04-25 18:00:00,A.S. SANTIAGO E BARBANZA,19064,16,341,18375,22,4,331246,168838,360
2021-04-25 18:00:00,A.S. VIGO,23434,31,878,22140,39,8,445942,110364,422
2021-04-25 18:00:00,GALICIA,121385,141,3015,116011,169,45,2016232,898361,2382
2021-04-26 18:00:00,A.S. A CORUÑA E CEE,29413,25,741,28100,50,13,441875,242748,585
2021-04-26 18:00:00,A.S. FERROL,8410,1,114,8074,11,1,135009,43282,216
2021-04-26 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE",12387,13,204,11965,12,4,222226,105194,213
2021-04-26 18:00:00,"A.S. OURENSE, VERÍN E O BARCO",15262,11,264,14583,23,9,235914,123460,416
2021-04-26 18:00:00,A.S. PONTEVEDRA E O SALNÉS,13493,12,458,12866,22,5,207262,106103,171
2021-04-26 18:00:00,A.S. SANTIAGO E BARBANZA,19085,12,347,18390,19,5,332577,169267,360
2021-04-26 18:00:00,A.S. VIGO,23462,27,894,22151,37,9,448847,110682,423
2021-04-26 18:00:00,GALICIA,121512,101,3022,116129,174,46,2023710,900736,2384
2021-04-27 18:00:00,A.S. A CORUÑA E CEE,29459,42,750,28137,52,11,443199,243254,585
2021-04-27 18:00:00,A.S. FERROL,8413,5,98,8093,8,2,135375,43345,216
